区域ID,区域,样品ID,纬度,经度,LOC PREC,SR87_SR86,ND143_ND144,PB206_PB204,PB207_PB204,PB208_PB204
4,SWIR,AGU0053-003-003,-46.03,34.07,0.01,0.70276,0.513089,18.223,15.469,37.781
4,SWIR,DUF0107-071,-37.38,51.39,0.01,0.703067,0.513109,18.2224,15.5073,38.0605
4,SWIR,MELPROT-5-042-001,-38.432,46.713,0.01,0.70281,0.513099,18.222,15.49,37.943
4,SWIR,DY0115-021-005-003-001,-37.78,49.65,0.01,0.70295,0.513123,18.221,15.528,38.117
3,SEIR,VEM0033-2-008-008,-49.467,121.033,0.001,0.70314,0.512972,18.22,15.465,38.212
4,SWIR,DY0115-020-003-018,-37.61,50.97,0.01,0.702969,0.513132,18.216,15.55,38.169
4,SWIR,DY0115-021-005-029-006,-37.78,49.65,0.01,0.702983,0.513133,18.212,15.53,38.128
4,SWIR,DY0115-019-009A,-36.04,52.49,0.01,0.702946,0.513097,18.21,15.49,38.004
4,SWIR,DUF0107-072,-37.46,51.16,0.01,0.703044,0.513108,18.2028,15.5012,38.0262
4,SWIR,DY0115-021-005-011-007,-37.68,50.47,0.01,0.702869,0.51314,18.202,15.526,38.094
3,SEIR,MELWEST-10-126-007,-49.527,109.484,0.001,0.70336,0.512909,18.198,15.512,38.262
4,SWIR,DY0115-019-008B,-36.04,52.49,0.01,0.703167,0.513082,18.197,15.487,37.988
4,SWIR,DY0115-021-007-034-021,-37.91,49.25,0.01,0.702935,0.513098,18.188,15.535,38.107
4,SWIR,DY0115-020-005-018,-37.61,50.97,0.01,0.703127,0.513103,18.182,15.58,38.16
4,SWIR,MELPROT-5-042-011,-38.432,46.713,0.01,0.70321,0.513025,18.179,15.495,37.972
3,SEIR,MELWEST-10-066-018,-41.7217,89.3178,0.00001,0.70337,0.512949,18.173,15.492,38.013
4,SWIR,DUF0125-032-001-003,-38.03,48.83,0.01,0.702887,0.513168,18.1656,15.4922,37.9851
4,SWIR,DY0115-021-005-014-008,-37.68,50.47,0.01,0.70283,0.513135,18.164,15.531,38.097
4,SWIR,DUF0125-032-001-001,-38.03,48.83,0.01,0.702934,0.513166,18.1611,15.4888,37.9769
4,SWIR,DUF0107-057-001-001,-34.14,55.63,0.01,0.702907,0.513072,18.1598,15.4969,37.9394
4,SWIR,DUF0107-075-001-001,-37.87,49.34,0.01,0.702923,0.513171,18.1444,15.4871,37.9598
4,SWIR,DUF0107-001-001-001,-26.09,68.73,0.01,0.702964,0.513034,18.1441,15.4691,37.9934
3,SEIR,MELWEST-10-113-007,-48.7517,105.224,0.00001,0.70274,0.513052,18.144,15.467,37.936
4,SWIR,DUF0125-030-001-004,-38.08,48.62,0.01,0.703157,0.513139,18.1438,15.4948,37.9911
3,SEIR,MELWEST-10-112-001,-48.3172,104.966,0.00001,0.70304,0.512985,18.14,15.494,37.99
3,SEIR,MELWEST-10-083-017,-45.0512,95.764,0.00001,0.7032,0.512986,18.133,15.504,37.92
3,SEIR,MELWEST-10-096-001,-47.335,100.672,0.00001,0.70301,0.513001,18.133,15.483,37.923
4,SWIR,MELPROT-5-025-240,-44.815,35.847,0.001,0.70321,0.513064,18.133,15.476,38.061
3,SEIR,MELWEST-10-128-001,-49.8275,110.412,0.00001,0.70343,0.512917,18.132,15.533,38.193
4,SWIR,DUF0107-052,-33.79,56.13,0.01,0.702732,0.51305,18.1315,15.4885,37.7737
3,SEIR,MELWEST-10-125-001,-49.45,109.105,0.001,0.70285,0.513023,18.128,15.475,38.047
4,SWIR,DY0115-021-004,-38.13,48.6,0.01,0.703077,0.513092,18.124,15.478,37.924
4,SWIR,DUF0107-066,-34.75,54.37,0.01,0.702882,0.513081,18.1221,15.4854,37.9595
3,SEIR,MELWEST-10-106-004,-47.878,103.353,0.001,0.7029,0.513015,18.114,15.477,37.922
4,SWIR,DUF0034-002,-33.76,56.27,0.01,0.70269,0.513001,18.114,15.505,37.839
3,SEIR,MELWEST-10-100-001,-47.6313,101.532,0.00001,0.70306,0.512978,18.105,15.485,37.944
3,SEIR,MELWEST-10-108-003,-47.972,103.571,0.00001,0.70293,0.513024,18.103,15.482,37.936
4,SWIR,DUF0107-070-001-001,-37.33,51.81,0.01,0.702987,0.513128,18.1003,15.4952,37.9263
3,SEIR,VEM0033-2-009-001,-49.808,119.175,0.001,0.702849,0.513017,18.0908,15.4886,38.0125
3,SEIR,MELWEST-10-097-008,-47.1865,100.863,0.00001,0.70284,0.513018,18.088,15.466,37.874
3,SEIR,CHRHYAM-002,-39.68,78.48,0.01,0.70405,0.512854,18.085,15.561,38.445
3,SEIR,DSDP028-0265-017-001/061-063,-53.5408,109.946,0.0001,0.70349,0.512893,18.08,15.497,37.999
4,SWIR,DUF0107-053-002-003,-33.87,56.03,0.01,0.702658,0.513122,18.0786,15.4773,37.7434
4,SWIR,AGU0053-001-032,-47.17,32.67,0.01,0.70259,0.513119,18.078,15.454,37.59
4,SWIR,DUF0107-007-002-005,-27.36,66.64,0.01,0.703234,0.513013,18.0735,15.4831,38.0759
3,SEIR,MELWEST-10-130-001,-49.7813,111.134,0.00001,0.70274,0.513057,18.064,15.468,37.964
3,SEIR,MELWEST-10-110-004,-48.1037,103.931,0.00001,0.70286,0.513028,18.062,15.466,37.844
3,SEIR,MELWEST-10-115-003,-49.2287,105.868,0.00001,0.70311,0.512992,18.06,15.495,38.005
3,SEIR,PETDB-2871-ST PAUL-41,-38.72,77.55,0.01,0.704494,0.512757,18.06,15.519,38.55
4,SWIR,MELPROT-5-041-049,-38.66,46.63,0.01,0.70289,0.512995,18.058,15.502,38.107
3,SEIR,VEM0033-2-007-003,-49.033,124,0.001,0.7029,0.513037,18.057,15.439,37.858
4,SWIR,MELPROT-5-025-217,-44.815,35.847,0.001,0.70268,0.513151,18.052,15.473,37.694
4,SWIR,DUF0107-011-001-002,-27.63,65.53,0.01,0.703626,0.512911,18.0428,15.4991,38.1612
4,SWIR,DUF0107-011-001-009,-27.63,65.53,0.01,0.703626,0.512859,18.0417,15.4971,38.1582
4,SWIR,MELPROT-5-037-002,-40.13,45.76,0.001,0.70329,0.512985,18.04,15.469,38.16
