区域,SAMPLE ID,LATITUDE,LONGITUDE,LOC PREC,SR87_SR86,ΔSr,ND143_ND144,PB206_PB204,PB207_PB204,PB208_PB204,7NRHL,8NRHL,Δ7/4,Δ8/4,SIO2,TIO2,AL2O3,FE2O3,FE2O3T,FEO,FEOT,MNO,MGO,CAO,NA2O,K2O,P2O5,HE3_HE4_R_RA,LA,CE,PR,ND,SM,EU,GD,TB,DY,HO,ER,YB,LU,BA,NB,PB,RB,SR,TH,U,Y,ZR
SWIR,AGU0053-003-003,-46.03,34.07,0.01,0.70276,27.6,0.513089,18.223,15.469,37.781,15.4663732,37.658607,0.26268,12.2393,,,,,,,,,,,,,,,,,,10.11,3.334,,,,,,,,,,,0.423,2.61,135.4,,,,
SWIR,DUF0107-073-002,-37.69,49.85,0.01,0.702722,27.22,0.51312,18.226,15.4904,37.9952,15.4666984,37.662234,2.37016,33.2966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWIR,DY0115-017-002A,-37.77,49.65,0.01,0.703214,32.14,0.513091,18.228,15.5,38.032,15.4669152,37.664652,3.30848,36.7348,49.13,1.4,14.59,11.62,,,,0.19,8.53,10.92,3.21,0.16,0.12,,2.59,8.68,1.69,9.31,3.46,1.21,4.87,0.918,6.01,1.29,3.67,3.3,0.533,,,,,,,,,
SWIR,DUF0034-007,-44.807,36.302,0.001,0.7028,28,0.513041,18.237,15.499,37.976,15.4678908,37.675533,3.11092,30.0467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWIR,MELPROT-5-020-A,-46.495,33.87,0.001,0.7034,34,0.512983,18.261,15.552,38.37,15.4704924,37.704549,8.15076,66.5451,47.52,0.52,18.34,,,,7.51,0.14,6.9,10.68,2.57,0.44,0.13,,,,,6.76,2.362,,,,,,,,,16,2.9,0.449,5,141,,,22,55
SWIR,DY0115-020-005-004,-38.13,48.6,0.01,0.703071,30.71,0.513124,18.276,15.533,38.163,15.4721184,37.722684,6.08816,44.0316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWIR,DY0105-017-002A,-37.77,49.65,0.01,0.702978,29.78,0.513118,18.277,15.564,38.248,15.4722268,37.723893,9.17732,52.4107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWIR,DUF0125-006-002-002,-44.9,36.47,0.01,0.702882,28.82,0.513147,18.289,15.5095,38.0463,15.4735276,37.738401,3.59724,30.7899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWIR,MELPROT-5-009-001,-52.58,26.335,0.001,0.70255,25.5,0.513046,18.339,15.478,37.987,15.4789476,37.798851,-0.09476,18.8149,,,,,,,,,,,,,,,,,,15.77,4.824,,,,,,,,,,,0.626,1.28,171.7,,,,
SWIR,DUF0125-008-002-001,-44.61,37.27,0.01,0.70296,29.6,0.513138,18.3562,15.5229,38.1451,15.48081208,37.8196458,4.208792,32.54542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWIR,DY0115-020-005-020,-37.61,50.99,0.01,0.703169,31.69,0.513095,18.361,15.594,38.254,15.4813324,37.825449,11.26676,42.8551,48.98,1.37,14.46,12.28,,,,0.17,8.4,11.04,2.49,0.25,0.06,,2.15,7.2,1.43,8.4,3.38,1.23,4.81,0.953,6.17,1.38,3.68,3.61,0.558,,,,,,,,,
SWIR,DUF0125-005-001-002,-44.86,36.18,0.01,0.702915,29.15,0.513102,18.3663,15.5162,38.1243,15.48190692,37.8318567,3.429308,29.24433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWIR,DUF0034-006,-44.18,38.795,0.001,0.7028,28,0.513071,18.373,15.509,38.096,15.4826332,37.839957,2.63668,25.6043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWIR,DUF0125-020-001-001,-43.92,40.94,0.01,0.702994,29.94,0.513037,18.4067,15.5268,38.1741,15.48628628,37.8807003,4.051372,29.33997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWIR,DUF0125-019-001-006,-43.89,40.81,0.01,0.703008,30.08,0.513089,18.4122,15.5253,38.1444,15.48688248,37.8873498,3.841752,25.70502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWIR,AGU0032-004-111,-54.03,2.13,0.01,0.703452,34.52,0.512965,18.416,15.572,38.459,15.4872944,37.891944,8.47056,56.7056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWIR,AGU0022-008-001,-53.41,24.76,0.01,0.70268,26.8,0.513082,18.417,15.5,38.012,15.4874028,37.893153,1.25972,11.8847,,,,,,,,,,,,,,,4.83,15.3,2.56,13.6,4.29,1.53,5.31,0.92,5.98,1.26,3.64,3.36,0.5,8.37,3.25,0.72,1.74,160,0.2,0.12,34.5,139
SWIR,AGU0022-009-002,-53.158,22.83,0.001,0.70256,25.6,0.513101,18.418,15.492,37.965,15.4875112,37.894362,0.44888,7.0638,,,,,,,,,,,,,,,,,,6.82,2.382,,,,,,,,,,,0.279,0.17,102.6,,,,
SWIR,DUF0125-017-001-003,-43.89,40.8,0.01,0.702929,29.29,0.513005,18.4263,15.5262,38.1701,15.48841092,37.9043967,3.778908,26.57033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWIR,AGU0032-002-003,-54.37,1.2,0.01,0.703479,34.79,0.512953,18.552,15.581,38.496,15.5020368,38.056368,7.89632,43.9632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWIR,AGU0032-003-099,-54.12,1.97,0.01,0.703088,30.88,0.513059,18.565,15.555,38.311,15.503446,38.072085,5.1554,23.8915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWIR,DY0115-020-005-012,-37.66,50.47,0.0001,0.703448,34.48,0.512976,18.574,15.595,38.571,15.5044216,38.082966,9.05784,48.8034,47.84,0.84,16.21,11.11,,,,0.14,9.68,11.21,2.48,0.14,0,,1.5,4.86,0.919,4.96,1.79,0.753,2.63,0.502,3.42,0.742,2.06,1.89,0.293,,,,,,,,,
SWIR,MELPROT-5-009-007,-52.58,26.335,0.001,0.70373,37.3,0.513005,18.576,15.592,38.482,15.5046384,38.085384,8.73616,39.6616,,,,,,,,,,,,,,,,,,6.926,2.403,,,,,,,,,,,1.7,23.8,96.87,,,,
SWIR,DY0115-020-003-012,-37.66,50.47,0.01,0.703307,33.07,0.513002,18.586,15.57,38.601,15.5057224,38.097474,6.42776,50.3526,47.84,0.84,16.21,11.11,,,,0.14,9.68,11.21,2.48,0.14,,,1.5,4.86,0.919,4.96,1.79,0.753,2.63,0.502,3.42,0.742,2.06,1.89,0.293,3.34,0.611,,2.08,108,0.085,,17.1,44.5
SWIR,DY0115-020-005-014-1,-37.6579,50.4671,0.0001,0.703358,33.58,0.512869,18.664,15.65,38.722,15.5141776,38.191776,13.58224,53.0224,48.29,0.92,16.56,11.2,,,,0.15,7.89,11.56,2.65,0.2,0,,1.63,5.06,1.11,5.39,1.99,0.838,2.88,0.574,3.61,0.826,2.27,2.14,0.32,,,,,,,,,
SWIR,POLANT4-4-006-002,-52.33,13.15,0.01,0.7029,29,0.513004,18.741,15.551,38.541,15.5225244,38.284869,2.84756,25.6131,50.17,1.69,16.23,,,,9.02,0.18,7.96,9.68,3.94,0.41,0.29,,10.7,27.4,3.55,15.7,4.51,1.58,5.45,0.96,6.11,,3.72,3.55,,77,16.4,,7.3,212,,,37,164
